price,rooms,total_area_m2,floor,address,title,url
17 000 000 ₽337 302 ₽/м²,2,50.4 м²,5/14,Москва,"2-комн. квартира, 50,4 м², 5/14 этаж",https://www.cian.ru/cat.php?id_user=71251391&deal_type=sale&flat=yes&engine_version=2
20 600 000 ₽364 602 ₽/м²,2,56.5 м²,1/5,Москва,"2-комн. квартира, 56,5 м², 1/5 этаж",https://www.cian.ru/cat.php?id_user=123860344&deal_type=sale&flat=yes&engine_version=2
17 200 000 ₽259 819 ₽/м²,3,66.2 м²,7/10,Москва,"3-комн. квартира, 66,2 м², 7/10 этаж",https://www.cian.ru/cat.php?id_user=335209&deal_type=sale&flat=yes&engine_version=2
17 999 999 ₽243 572 ₽/м²,3,73.9 м²,3/3,Москва,"3-комн. квартира, 73,9 м², 3/3 этаж",https://www.cian.ru/cat.php?id_user=565329&deal_type=sale&flat=yes&engine_version=2
25 500 000 ₽510 000 ₽/м²,2,50 м²,6/9,Москва,"2-комн. квартира, 50 м², 6/9 этаж",https://www.cian.ru/cat.php?id_user=67649507&deal_type=sale&flat=yes&engine_version=2
22 000 000 ₽488 889 ₽/м²,1,45 м²,26/30,Москва,"1-комн. квартира, 45 м², 26/30 этаж",https://www.cian.ru/cat.php?id_user=96955&deal_type=sale&flat=yes&engine_version=2
23 500 000 ₽474 747 ₽/м²,2,49.5 м²,6/23,Москва,"2-комн. квартира, 49,5 м², 6/23 этаж",https://www.cian.ru/cat.php?id_user=11048289&deal_type=sale&flat=yes&engine_version=2
13 100 000 ₽344 737 ₽/м²,1,38 м²,3/14,Москва,"1-комн. квартира, 38 м², 3/14 этаж",https://www.cian.ru/cat.php?id_user=1689268&deal_type=sale&flat=yes&engine_version=2
29 000 000 ₽674 419 ₽/м²,2,43 м²,5/6,Москва,"2-комн. квартира, 43 м², 5/6 этаж",https://www.cian.ru/cat.php?id_user=50227&deal_type=sale&flat=yes&engine_version=2
16 600 000 ₽263 074 ₽/м²,3,63.1 м²,6/12,Москва,"3-комн. квартира, 63,1 м², 6/12 этаж",https://www.cian.ru/cat.php?id_user=80422298&deal_type=sale&flat=yes&engine_version=2
18 700 000 ₽397 872 ₽/м²,2,47 м²,7/9,Москва,"2-комн. квартира, 47 м², 7/9 этаж",https://www.cian.ru/cat.php?id_user=88204702&deal_type=sale&flat=yes&engine_version=2
18 700 000 ₽310 631 ₽/м²,2,60.2 м²,4/9,Москва,"2-комн. квартира, 60,2 м², 4/9 этаж",https://www.cian.ru/cat.php?id_user=125224028&deal_type=sale&flat=yes&engine_version=2
6 650 000 ₽182 192 ₽/м²,1,6 м²,2/3,Москва,"1-комн. квартира, 36,5 м², 2/3 этаж",https://www.cian.ru/cat.php?id_user=87162081&deal_type=sale&flat=yes&engine_version=2
18 500 000 ₽304 226 ₽/м²,2,60.81 м²,12/12,Москва,"2-комн. квартира, 60,81 м², 12/12 этаж",https://www.cian.ru/cat.php?id_user=9679252&deal_type=sale&flat=yes&engine_version=2
15 500 000 ₽262 712 ₽/м²,3,59 м²,5/9,Москва,"3-комн. квартира, 59 м², 5/9 этаж",https://www.cian.ru/cat.php?id_user=134796&deal_type=sale&flat=yes&engine_version=2
17 325 000 ₽292 159 ₽/м²,3,59.3 м²,9/9,Москва,"3-комн. квартира, 59,3 м², 9/9 этаж",https://www.cian.ru/cat.php?id_user=454&deal_type=sale&flat=yes&engine_version=2
16 000 000 ₽205 392 ₽/м²,3,77.9 м²,9/14,Москва,"3-комн. квартира, 77,9 м², 9/14 этаж",https://www.cian.ru/cat.php?id_user=1689268&deal_type=sale&flat=yes&engine_version=2
18 500 000 ₽533 141 ₽/м²,1,34.7 м²,9/14,Москва,"1-комн. квартира, 34,7 м², 9/14 этаж",https://www.cian.ru/cat.php?id_user=10310682&deal_type=sale&flat=yes&engine_version=2
22 900 000 ₽601 050 ₽/м²,1,38.1 м²,20/22,Москва,"1-комн. квартира, 38,1 м², 20/22 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
